
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
55,Marques Bolden,C,22,CLE,6,29,13.3,.537,.000,2.667,11.3,11.9,11.6,0.0,3.4,6.1,23.5,12.8,,0.0,0.0,0.0,.063,,-3.8,0.8,-3.0,0.0,boldema01
56,Jordan Bone,PG,23,ORL,14,196,8.9,.519,.593,.000,2.0,11.0,6.4,13.6,0.5,0.0,5.3,12.6,,0.1,0.1,0.2,.045,,-3.0,-1.2,-4.2,-0.1,bonejo01
57,Isaac Bonga,SF,21,WAS,40,432,4.0,.461,.580,.099,4.4,11.7,8.1,6.5,1.2,1.7,20.7,10.2,,-0.4,0.4,0.0,-0.001,,-5.8,0.0,-5.8,-0.4,bongais01
58,Devin Booker,SG,24,PHO,67,2270,19.2,.587,.288,.305,1.7,12.1,7.0,20.6,1.2,0.6,12.4,32.7,,2.9,2.0,4.9,.104,,1.7,-1.4,0.3,1.3,bookede01
59,Chris Boucher,C,28,TOR,60,1453,21.9,.634,.420,.345,8.5,22.5,15.3,6.9,1.2,7.6,6.7,20.5,,4.0,2.1,6.1,.201,,2.7,0.6,3.3,2.0,bouchch01
60,Brian Bowen,SF,22,IND,6,15,1.0,.338,.250,.250,0.0,21.6,10.8,0.0,0.0,0.0,0.0,12.6,,0.0,0.0,0.0,-0.063,,-8.1,-2.9,-11.0,0.0,bowenbr02
61,Avery Bradley,SG,30,TOT,27,602,6.3,.487,.591,.088,1.4,9.1,5.2,10.8,1.7,0.5,13.6,14.9,,-0.5,0.4,-0.1,-0.008,,-4.9,-0.5,-5.4,-0.5,bradlav01
61,Avery Bradley,SG,30,MIA,10,211,10.4,.607,.576,.136,1.1,8.5,4.9,10.0,1.6,0.5,11.4,16.9,,0.1,0.2,0.3,.072,,-2.5,0.1,-2.4,0.0,bradlav01
61,Avery Bradley,SG,30,HOU,17,391,4.0,.409,.600,.057,1.6,9.4,5.3,11.2,1.7,0.5,15.0,13.8,,-0.6,0.2,-0.4,-0.052,,-6.2,-0.8,-6.9,-0.5,bradlav01
62,Tony Bradley,C,23,TOT,42,684,20.7,.678,.015,.279,13.3,24.0,18.6,8.5,1.0,3.9,13.0,15.8,,1.8,1.0,2.7,.192,,1.2,0.1,1.3,0.6,bradlto01
62,Tony Bradley,C,23,PHI,20,287,21.1,.683,.013,.147,15.2,24.5,19.9,8.7,1.0,4.1,7.0,12.9,,1.0,0.5,1.5,.245,,2.3,1.0,3.3,0.4,bradlto01
62,Tony Bradley,C,23,OKC,22,397,20.4,.676,.016,.361,11.9,23.6,17.7,8.3,1.1,3.8,16.0,18.0,,0.8,0.5,1.3,.154,,0.4,-0.5,-0.2,0.2,bradlto01
63,Jarrell Brantley,PF,24,UTA,28,138,16.6,.605,.538,.038,7.2,13.3,10.4,16.1,2.5,1.2,13.1,19.0,,0.3,0.2,0.5,.172,,0.6,1.6,2.2,0.1,brantja01
64,Ignas Brazdeikis,SF,22,TOT,13,249,9.5,.510,.337,.169,4.5,14.7,9.4,10.5,0.8,1.1,11.9,17.6,,-0.1,0.1,0.1,.016,,-3.2,-2.1,-5.3,-0.2,brazdig01
64,Ignas Brazdeikis,SF,22,NYK,4,7,11.2,.532,.000,2.000,15.7,15.3,15.5,17.5,0.0,0.0,34.7,18.3,,0.0,0.0,0.0,.039,,-2.9,-1.2,-4.1,0.0,brazdig01
64,Ignas Brazdeikis,SF,22,PHI,1,8,-12.0,.000,.333,.000,0.0,27.0,13.8,0.0,0.0,0.0,0.0,16.1,,-0.1,0.0,-0.1,-0.330,,-15.2,-6.2,-21.4,0.0,brazdig01
64,Ignas Brazdeikis,SF,22,ORL,8,234,10.2,.528,.342,.152,4.3,14.2,9.1,10.6,0.8,1.2,11.5,17.6,,0.0,0.1,0.1,.027,,-2.8,-2.0,-4.8,-0.2,brazdig01
65,Mikal Bridges,SF,24,PHO,72,2348,16.4,.667,.471,.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,,5.4,2.6,8.0,.164,,2.4,0.9,3.3,3.1,bridgmi01
66,Miles Bridges,PF,22,CHO,66,1932,14.7,.625,.466,.182,4.5,18.0,11.1,11.4,1.1,2.7,13.6,17.3,,2.4,1.9,4.2,.105,,0.2,0.1,0.2,1.1,bridgmi02
67,Amida Brimah,C,26,IND,5,29,16.6,.697,.000,.375,7.5,22.3,15.0,4.8,0.0,14.0,30.0,19.6,,0.0,0.1,0.0,.073,,-6.2,1.4,-4.8,0.0,brimaam01
68,Oshae Brissett,SF,22,IND,21,519,17.2,.638,.517,.430,6.1,17.9,12.0,4.6,1.7,3.1,5.3,15.6,,1.2,0.6,1.8,.165,,1.1,-0.5,0.6,0.3,brissos01
69,Malcolm Brogdon,PG,28,IND,56,1930,17.9,.561,.382,.181,3.3,13.2,8.3,25.7,1.2,0.6,9.8,25.9,,2.9,1.3,4.2,.105,,3.0,-0.9,2.1,2.0,brogdma01
70,Armoni Brooks,SG,22,HOU,20,520,10.4,.565,.818,.063,2.0,12.4,7.0,8.7,1.1,0.9,10.0,17.9,,0.1,0.2,0.3,.030,,-1.1,-2.1,-3.2,-0.2,brookar01
71,Dillon Brooks,SF,25,MEM,67,1997,12.1,.515,.361,.189,2.8,7.7,5.2,11.7,1.9,1.2,9.6,26.1,,-0.5,1.8,1.4,.033,,-2.6,-1.1,-3.7,-0.9,brookdi01
72,Bruce Brown,PG,24,BRK,65,1451,16.1,.604,.139,.277,8.9,17.2,13.3,9.8,1.9,1.7,10.2,15.9,,2.8,1.5,4.4,.144,,-0.4,0.2,-0.1,0.7,brownbr01
73,Charlie Brown Jr.,SG,23,OKC,9,152,4.1,.422,.488,.233,2.0,9.7,5.8,8.2,1.3,1.2,11.2,14.9,,-0.2,0.1,-0.1,-0.032,,-7.4,-1.3,-8.7,-0.3,brownch02
74,Jaylen Brown,SG,24,BOS,58,1999,19.9,.586,.370,.225,3.9,15.5,9.7,16.5,1.8,1.5,11.5,29.7,,2.8,2.0,4.8,.115,,3.2,-0.7,2.5,2.3,brownja02
